family,direction,split,thesis_inv_thr,regime_mult_QT,n,win_rate,avg_net,total_net,pf,avg_bars,decay%,logic%,thesis_inv%,hard_stop%,protect%,time_cap%
P1-9,short,IS,0.003,0.6,465,47.7,-0.0252,-11.74,0.87,45.9,34.0,8.0,0.0,48.0,0.0,9.0
P1-9,short,OOS,0.003,0.6,228,43.4,-0.0588,-13.4,0.75,32.9,37.0,1.0,0.0,54.0,0.0,7.0
P1-9,short,IS,0.003,0.8,465,50.3,-0.0347,-16.14,0.83,50.9,36.0,9.0,0.0,44.0,0.0,11.0
P1-9,short,OOS,0.003,0.8,228,47.4,-0.059,-13.46,0.76,37.6,40.0,2.0,0.0,49.0,0.0,9.0
P1-9,short,IS,0.003,1.0,465,52.5,-0.0371,-17.26,0.83,55.6,37.0,9.0,0.0,40.0,0.0,13.0
P1-9,short,OOS,0.003,1.0,228,50.4,-0.054,-12.32,0.78,41.0,42.0,2.0,0.0,46.0,0.0,10.0
P1-9,short,IS,0.003,1.3,465,54.4,-0.033,-15.35,0.85,61.0,39.0,10.0,0.0,34.0,0.0,17.0
P1-9,short,OOS,0.003,1.3,228,51.8,-0.0699,-15.94,0.74,43.9,43.0,3.0,0.0,42.0,0.0,12.0
P1-9,short,IS,0.003,1.5,465,55.5,-0.0278,-12.94,0.87,63.8,40.0,10.0,0.0,30.0,0.0,20.0
P1-9,short,OOS,0.003,1.5,228,53.1,-0.0715,-16.29,0.74,46.5,44.0,3.0,0.0,40.0,0.0,13.0
P1-9,short,IS,0.003,2.0,465,56.6,-0.0138,-6.44,0.93,68.5,41.0,11.0,0.0,22.0,0.0,26.0
P1-9,short,OOS,0.003,2.0,228,56.1,-0.0604,-13.77,0.78,51.7,47.0,3.0,0.0,33.0,0.0,18.0
P1-9,short,IS,0.005,0.6,465,47.7,-0.0252,-11.74,0.87,45.9,34.0,8.0,0.0,48.0,0.0,9.0
P1-9,short,OOS,0.005,0.6,228,43.4,-0.0588,-13.4,0.75,32.9,37.0,1.0,0.0,54.0,0.0,7.0
P1-9,short,IS,0.005,0.8,465,50.3,-0.0347,-16.14,0.83,50.9,36.0,9.0,0.0,44.0,0.0,11.0
P1-9,short,OOS,0.005,0.8,228,47.4,-0.059,-13.46,0.76,37.6,40.0,2.0,0.0,49.0,0.0,9.0
P1-9,short,IS,0.005,1.0,465,52.5,-0.0371,-17.26,0.83,55.6,37.0,9.0,0.0,40.0,0.0,13.0
P1-9,short,OOS,0.005,1.0,228,50.4,-0.054,-12.32,0.78,41.0,42.0,2.0,0.0,46.0,0.0,10.0
P1-9,short,IS,0.005,1.3,465,54.4,-0.033,-15.35,0.85,61.0,39.0,10.0,0.0,34.0,0.0,17.0
P1-9,short,OOS,0.005,1.3,228,51.8,-0.0699,-15.94,0.74,43.9,43.0,3.0,0.0,42.0,0.0,12.0
P1-9,short,IS,0.005,1.5,465,55.5,-0.0278,-12.94,0.87,63.8,40.0,10.0,0.0,30.0,0.0,20.0
P1-9,short,OOS,0.005,1.5,228,53.1,-0.0715,-16.29,0.74,46.5,44.0,3.0,0.0,40.0,0.0,13.0
P1-9,short,IS,0.005,2.0,465,56.6,-0.0138,-6.44,0.93,68.5,41.0,11.0,0.0,22.0,0.0,26.0
P1-9,short,OOS,0.005,2.0,228,56.1,-0.0604,-13.77,0.78,51.7,47.0,3.0,0.0,33.0,0.0,18.0
P1-9,short,IS,0.007,0.6,465,47.7,-0.0252,-11.74,0.87,45.9,34.0,8.0,0.0,48.0,0.0,9.0
P1-9,short,OOS,0.007,0.6,228,43.4,-0.0588,-13.4,0.75,32.9,37.0,1.0,0.0,54.0,0.0,7.0
P1-9,short,IS,0.007,0.8,465,50.3,-0.0347,-16.14,0.83,50.9,36.0,9.0,0.0,44.0,0.0,11.0
P1-9,short,OOS,0.007,0.8,228,47.4,-0.059,-13.46,0.76,37.6,40.0,2.0,0.0,49.0,0.0,9.0
P1-9,short,IS,0.007,1.0,465,52.5,-0.0371,-17.26,0.83,55.6,37.0,9.0,0.0,40.0,0.0,13.0
P1-9,short,OOS,0.007,1.0,228,50.4,-0.054,-12.32,0.78,41.0,42.0,2.0,0.0,46.0,0.0,10.0
P1-9,short,IS,0.007,1.3,465,54.4,-0.033,-15.35,0.85,61.0,39.0,10.0,0.0,34.0,0.0,17.0
P1-9,short,OOS,0.007,1.3,228,51.8,-0.0699,-15.94,0.74,43.9,43.0,3.0,0.0,42.0,0.0,12.0
P1-9,short,IS,0.007,1.5,465,55.5,-0.0278,-12.94,0.87,63.8,40.0,10.0,0.0,30.0,0.0,20.0
P1-9,short,OOS,0.007,1.5,228,53.1,-0.0715,-16.29,0.74,46.5,44.0,3.0,0.0,40.0,0.0,13.0
P1-9,short,IS,0.007,2.0,465,56.6,-0.0138,-6.44,0.93,68.5,41.0,11.0,0.0,22.0,0.0,26.0
P1-9,short,OOS,0.007,2.0,228,56.1,-0.0604,-13.77,0.78,51.7,47.0,3.0,0.0,33.0,0.0,18.0
P1-9,short,IS,0.01,0.6,465,47.7,-0.0252,-11.74,0.87,45.9,34.0,8.0,0.0,48.0,0.0,9.0
P1-9,short,OOS,0.01,0.6,228,43.4,-0.0588,-13.4,0.75,32.9,37.0,1.0,0.0,54.0,0.0,7.0
P1-9,short,IS,0.01,0.8,465,50.3,-0.0347,-16.14,0.83,50.9,36.0,9.0,0.0,44.0,0.0,11.0
P1-9,short,OOS,0.01,0.8,228,47.4,-0.059,-13.46,0.76,37.6,40.0,2.0,0.0,49.0,0.0,9.0
P1-9,short,IS,0.01,1.0,465,52.5,-0.0371,-17.26,0.83,55.6,37.0,9.0,0.0,40.0,0.0,13.0
P1-9,short,OOS,0.01,1.0,228,50.4,-0.054,-12.32,0.78,41.0,42.0,2.0,0.0,46.0,0.0,10.0
P1-9,short,IS,0.01,1.3,465,54.4,-0.033,-15.35,0.85,61.0,39.0,10.0,0.0,34.0,0.0,17.0
P1-9,short,OOS,0.01,1.3,228,51.8,-0.0699,-15.94,0.74,43.9,43.0,3.0,0.0,42.0,0.0,12.0
P1-9,short,IS,0.01,1.5,465,55.5,-0.0278,-12.94,0.87,63.8,40.0,10.0,0.0,30.0,0.0,20.0
P1-9,short,OOS,0.01,1.5,228,53.1,-0.0715,-16.29,0.74,46.5,44.0,3.0,0.0,40.0,0.0,13.0
P1-9,short,IS,0.01,2.0,465,56.6,-0.0138,-6.44,0.93,68.5,41.0,11.0,0.0,22.0,0.0,26.0
P1-9,short,OOS,0.01,2.0,228,56.1,-0.0604,-13.77,0.78,51.7,47.0,3.0,0.0,33.0,0.0,18.0
P1-9,short,IS,0.015,0.6,465,47.7,-0.0252,-11.74,0.87,45.9,34.0,8.0,0.0,48.0,0.0,9.0
P1-9,short,OOS,0.015,0.6,228,43.4,-0.0588,-13.4,0.75,32.9,37.0,1.0,0.0,54.0,0.0,7.0
P1-9,short,IS,0.015,0.8,465,50.3,-0.0347,-16.14,0.83,50.9,36.0,9.0,0.0,44.0,0.0,11.0
P1-9,short,OOS,0.015,0.8,228,47.4,-0.059,-13.46,0.76,37.6,40.0,2.0,0.0,49.0,0.0,9.0
P1-9,short,IS,0.015,1.0,465,52.5,-0.0371,-17.26,0.83,55.6,37.0,9.0,0.0,40.0,0.0,13.0
P1-9,short,OOS,0.015,1.0,228,50.4,-0.054,-12.32,0.78,41.0,42.0,2.0,0.0,46.0,0.0,10.0
P1-9,short,IS,0.015,1.3,465,54.4,-0.033,-15.35,0.85,61.0,39.0,10.0,0.0,34.0,0.0,17.0
P1-9,short,OOS,0.015,1.3,228,51.8,-0.0699,-15.94,0.74,43.9,43.0,3.0,0.0,42.0,0.0,12.0
P1-9,short,IS,0.015,1.5,465,55.5,-0.0278,-12.94,0.87,63.8,40.0,10.0,0.0,30.0,0.0,20.0
P1-9,short,OOS,0.015,1.5,228,53.1,-0.0715,-16.29,0.74,46.5,44.0,3.0,0.0,40.0,0.0,13.0
P1-9,short,IS,0.015,2.0,465,56.6,-0.0138,-6.44,0.93,68.5,41.0,11.0,0.0,22.0,0.0,26.0
P1-9,short,OOS,0.015,2.0,228,56.1,-0.0604,-13.77,0.78,51.7,47.0,3.0,0.0,33.0,0.0,18.0
P1-9,short,IS,OFF,0.6,465,47.7,-0.0252,-11.74,0.87,45.9,34.0,8.0,0.0,48.0,0.0,9.0
P1-9,short,OOS,OFF,0.6,228,43.4,-0.0588,-13.4,0.75,32.9,37.0,1.0,0.0,54.0,0.0,7.0
P1-9,short,IS,OFF,0.8,465,50.3,-0.0347,-16.14,0.83,50.9,36.0,9.0,0.0,44.0,0.0,11.0
P1-9,short,OOS,OFF,0.8,228,47.4,-0.059,-13.46,0.76,37.6,40.0,2.0,0.0,49.0,0.0,9.0
P1-9,short,IS,OFF,1.0,465,52.5,-0.0371,-17.26,0.83,55.6,37.0,9.0,0.0,40.0,0.0,13.0
P1-9,short,OOS,OFF,1.0,228,50.4,-0.054,-12.32,0.78,41.0,42.0,2.0,0.0,46.0,0.0,10.0
P1-9,short,IS,OFF,1.3,465,54.4,-0.033,-15.35,0.85,61.0,39.0,10.0,0.0,34.0,0.0,17.0
P1-9,short,OOS,OFF,1.3,228,51.8,-0.0699,-15.94,0.74,43.9,43.0,3.0,0.0,42.0,0.0,12.0
P1-9,short,IS,OFF,1.5,465,55.5,-0.0278,-12.94,0.87,63.8,40.0,10.0,0.0,30.0,0.0,20.0
P1-9,short,OOS,OFF,1.5,228,53.1,-0.0715,-16.29,0.74,46.5,44.0,3.0,0.0,40.0,0.0,13.0
P1-9,short,IS,OFF,2.0,465,56.6,-0.0138,-6.44,0.93,68.5,41.0,11.0,0.0,22.0,0.0,26.0
P1-9,short,OOS,OFF,2.0,228,56.1,-0.0604,-13.77,0.78,51.7,47.0,3.0,0.0,33.0,0.0,18.0
